Image Path,Generated Prompt
img1.jpg,"Describe an image containing: mountain, river, forest, lake, valley."
img2.jpg,"Describe an image containing: monument, statue, plaza, temple, castle."
img3.jpg,"DDescribe an image containing: dog, cat, ball, park, grass."
img4.jpg,"Describe an image containing: beach, sea, shells, umbrella, sand."
img5.jpg,"Describe an image containing: bird, tree, clouds, sky, flowers."
img6.jpg,"Describe an image containing: car, road, bridge, sign, building."
img7.jpg,"DDescribe an image containing: train, tracks, station, platform, tunnel."
img8.jpg,"Describe an image containing: plane, runway, sky, sky, airport, tower."
img9.jpg,"Describe an image containing: garden, flowers, path, butterfly, bench."
img10.jpg,"DDescribe an image containing: boat, water, fisherman, sunset, island."
